Empresa,Último,Var %,Fecha,Hora,Máx,Mín,Var Anual %,Negociación,Capitalización,PER,Rentabilidad Dividendos
ACS,102.5,-2.0,27/03/2026,17:36,104.8,100.9,23.27,28282595.3,27845620885.0,32.763,2.4078
Acciona,213.4,-1.2,27/03/2026,17:35,217.0,209.6,16.19,16236851.8,11706409750.2,12.664,2.4761
Acerinox,12.27,-0.96,27/03/2026,17:35,12.48,12.17,-2.13,8690719.3,3059345002.1,77.352,5.0529
Aena,25.63,0.43,27/03/2026,17:37,25.72,25.37,7.13,32690463.3,38445000000.0,18.555,4.2528
Amadeus IT,48.6,-2.83,27/03/2026,17:37,50.26,48.3,-20.4,62837147.8,21894261363.0,15.922,3.9506
ArcelorMittal,43.52,-2.09,27/03/2026,17:35,44.79,43.03,13.77,10383629.6,33728000000.0,14.922,1.0888
BBVA,17.91,-2.1,27/03/2026,17:37,18.405,17.815,-8.75,217917993.5,102247629417.0,10.505,5.1367
Banco Sabadell,3.023,-0.91,27/03/2026,17:37,3.077,3.007,-9.33,32433870.7,15186577783.8,9.6194,8.7462
Banco Santander,9.402,-0.72,27/03/2026,17:40,9.55,9.32,-5.94,329201910.5,138108981957.8,10.895,2.5526
Bankinter,13.325,-1.03,27/03/2026,17:37,13.555,13.235,-4.87,23879940.4,11977391502.0,11.665,4.5511
Caixabank,10.05,-1.08,27/03/2026,17:41,10.27,10.015,-2.72,62551229.7,70596432924.4,13.02,7.8248
Cellnex Telecom,26.49,0.87,27/03/2026,17:35,26.49,25.98,-4.26,28044654.6,18077066621.7,,1.4636
Colonial SFL,4.914,-0.8,27/03/2026,17:35,4.974,4.876,-9.35,8339432.8,3082771791.9,14.655,11.599
Crp Acc Ener Rn,20.4,-3.68,27/03/2026,17:35,21.4,20.3,-5.44,7491091.3,6625141332.0,10.025,4.546
Enagas,17.14,16.95,27/03/2026,17:44,17.165,15.53,11.44,186622532.7,4490509868.3,14.472,5.8343
Endesa,34.9,0.22,27/03/2026,17:35,35.17,34.53,13.67,25834023.3,36950448883.3,17.151,3.7756
Ferrovial,54.66,-0.58,27/03/2026,17:37,55.14,54.28,-0.65,49900485.5,39877496633.5,58.796,1.6588
Fluidra,20.04,1.1,27/03/2026,17:35,20.1,19.76,-14.42,9887521.8,3850266562.8,14.758,3.2435
Grifols,8.728,0.71,27/03/2026,17:36,8.826,8.61,-19.0,23959359.0,3719260876.9,11.917,1.7186
Iberdrola,19.125,-0.44,27/03/2026,17:37,19.31,18.965,4.03,158176999.9,129243797157.3,20.595,3.4875
Inditex,49.5,-1.94,27/03/2026,17:37,50.56,48.98,-10.4,121314618.5,154274274000.0,25.494,3.0101
Indra Sistemas,45.0,-4.41,27/03/2026,17:42,47.08,44.84,-3.0,59931558.1,7949448090.0,24.784,0.6666
Intl. C. Air Gp,4.112,-0.98,27/03/2026,17:38,4.17,4.081,-12.55,36464083.9,19438251116.4,6.0938,3.8424
Laborat Farmac,78.9,-0.56,27/03/2026,17:35,80.0,78.35,24.96,5027410.2,4042501621.8,31.569,1.1851
Logista Integ,31.76,0.76,27/03/2026,17:35,31.8,31.28,4.64,6376944.0,4216140000.0,12.804,2.0151
MERLIN Prop.,13.93,-1.06,27/03/2026,17:35,14.25,13.79,13.27,30912529.6,7852687843.0,24.239,4.3072
Mapfre,3.734,-0.16,27/03/2026,17:35,3.76,3.716,-12.65,5782879.6,11499051921.3,10.071,7.4201
Naturgy Grp,25.64,2.15,27/03/2026,17:39,25.76,25.3,-1.0,42584889.4,24860897857.6,11.825,9.2433
Puig Brands,17.1,-2.34,27/03/2026,17:35,17.55,17.03,17.75,14557035.6,2989416493.8,16.574,2.2035
Redeia Corp,14.21,-1.11,27/03/2026,17:36,14.61,14.21,-5.27,24928566.8,7688746800.0,15.961,2.8149
Repsol,24.07,-0.41,27/03/2026,17:40,24.43,23.77,51.77,86532211.7,26606360267.5,10.116,4.491
Sacyr,4.17,0.48,27/03/2026,17:35,4.172,4.104,7.34,7614922.6,3360103192.1,37.907,4.1247
Solaria Ener,22.78,-4.36,27/03/2026,17:35,24.12,22.57,31.23,32914747.1,2846380955.2,22.799,
Telefonica,3.672,0.27,27/03/2026,17:37,3.696,3.629,4.83,30636365.3,20820833226.2,12.159,8.1699
Unicaja Banco,2.494,-0.16,27/03/2026,17:37,2.522,2.466,-10.07,11465008.3,6413157563.1,10.591,8.0124
